Subsystem,Emissions
HaberBoschUnit,8017802.67
CoolingSubsystem,368.05
ASU,211324.75
HydrogenProduction,2714.15
SyngasCompression,963221.75
HaberBoschUnit,8925760.18
CoolingSubsystem,817.8
ASU,211324.75
HydrogenProduction,2714.15
SyngasCompression,963221.75
HaberBoschUnit,8925760.18
CoolingSubsystem,817.8
ASU,315047.6
HydrogenProduction,2877.4
SyngasCompression,807319.9
HaberBoschUnit,11506271.09
CoolingSubsystem,572.35
ASU,315047.6
HydrogenProduction,2877.4
SyngasCompression,807319.9
HaberBoschUnit,11506271.09
CoolingSubsystem,572.35
ASU,252133.75
HydrogenProduction,2394.1
SyngasCompression,1677771.95
HaberBoschUnit,5102781.1
CoolingSubsystem,1104.4
ASU,252133.75
HydrogenProduction,2394.1
SyngasCompression,1677771.95
HaberBoschUnit,5102781.1
CoolingSubsystem,1104.4
ASU,375410.9
HydrogenProduction,3373.8
SyngasCompression,1689139.8
HaberBoschUnit,8376206.97
CoolingSubsystem,610.95
ASU,375410.9
HydrogenProduction,3373.8
SyngasCompression,1689139.8
HaberBoschUnit,8376206.97
CoolingSubsystem,610.95
ASU,353306.05
HydrogenProduction,1623.4
SyngasCompression,1526742.05
HaberBoschUnit,10431058.21
CoolingSubsystem,727.65
ASU,353306.05
HydrogenProduction,1623.4
SyngasCompression,1526742.05
HaberBoschUnit,10431058.21
CoolingSubsystem,727.65
ASU,487635.65
HydrogenProduction,3210.5
SyngasCompression,776464.35
HaberBoschUnit,14206250.06
CoolingSubsystem,689.9
ASU,487635.65
HydrogenProduction,3210.5
SyngasCompression,776464.35
HaberBoschUnit,14206250.06
CoolingSubsystem,689.9
ASU,239380.9
HydrogenProduction,1460.15
SyngasCompression,1646916.4
HaberBoschUnit,7229313.24
CoolingSubsystem,724.25
ASU,239380.9
HydrogenProduction,1460.15
SyngasCompression,1646916.4
HaberBoschUnit,7229313.24
CoolingSubsystem,724.25
ASU,377815.35
HydrogenProduction,3000.0
SyngasCompression,841575.7
HaberBoschUnit,9869184.82
CoolingSubsystem,606.15
ASU,377815.35
HydrogenProduction,3000.0
SyngasCompression,841575.7
HaberBoschUnit,9869184.82
CoolingSubsystem,606.15
ASU,165268.5
HydrogenProduction,1328.0
SyngasCompression,1760747.05
HaberBoschUnit,9391312.45
CoolingSubsystem,474.0
ASU,165268.5
HydrogenProduction,1328.0
SyngasCompression,1760747.05
HaberBoschUnit,9391312.45
CoolingSubsystem,474.0
ASU,392693.65
HydrogenProduction,4071.1
SyngasCompression,1346632.75
HaberBoschUnit,6297088.72
CoolingSubsystem,610.45
ASU,392693.65
HydrogenProduction,4071.1
SyngasCompression,1346632.75
HaberBoschUnit,6297088.72
CoolingSubsystem,610.45
ASU,342532.55
HydrogenProduction,2085.6
SyngasCompression,1262185.9
HaberBoschUnit,13058983.0
CoolingSubsystem,560.65
ASU,342532.55
HydrogenProduction,2085.6
SyngasCompression,1262185.9
HaberBoschUnit,13058983.0
CoolingSubsystem,560.65
ASU,331905.25
HydrogenProduction,2227.65
SyngasCompression,1042136.95
HaberBoschUnit,9725823.12
CoolingSubsystem,834.0
ASU,331905.25
HydrogenProduction,2227.65
SyngasCompression,1042136.95
HaberBoschUnit,9725823.12
CoolingSubsystem,834.0
ASU,281744.15
HydrogenProduction,1959.9
SyngasCompression,2039259.25
HaberBoschUnit,7527610.14
CoolingSubsystem,384.3
ASU,281744.15
HydrogenProduction,1959.9
SyngasCompression,2039259.25
HaberBoschUnit,7527610.14
CoolingSubsystem,384.3
ASU,590787.3
HydrogenProduction,3142.05
SyngasCompression,1123335.8
HaberBoschUnit,6631599.38
CoolingSubsystem,1120.65
ASU,590787.3
HydrogenProduction,3142.05
SyngasCompression,1123335.8
HaberBoschUnit,6631599.38
CoolingSubsystem,1120.65
ASU,317026.95
HydrogenProduction,2874.25
SyngasCompression,882987.1
HaberBoschUnit,13393493.7
CoolingSubsystem,588.55
ASU,317026.95
HydrogenProduction,2874.25
SyngasCompression,882987.1
HaberBoschUnit,13393493.7
CoolingSubsystem,588.55
ASU,269735.25
HydrogenProduction,2638.3
SyngasCompression,1628798.9
HaberBoschUnit,9041868.26
CoolingSubsystem,722.65
ASU,269735.25
HydrogenProduction,2638.3
SyngasCompression,1628798.9
HaberBoschUnit,9041868.26
CoolingSubsystem,722.65
ASU,330098.6
HydrogenProduction,2135.4
SyngasCompression,748602.95
HaberBoschUnit,8563995.85
CoolingSubsystem,693.45
ASU,330098.6
HydrogenProduction,2135.4
SyngasCompression,748602.95
HaberBoschUnit,8563995.85
CoolingSubsystem,693.45
ASU,223825.15
HydrogenProduction,2654.65
SyngasCompression,1149725.45
HaberBoschUnit,5613133.86
CoolingSubsystem,728.65
ASU,223825.15
HydrogenProduction,2654.65
SyngasCompression,1149725.45
HaberBoschUnit,5613133.86
CoolingSubsystem,728.65
ASU,456776.5
HydrogenProduction,2465.25
SyngasCompression,1234172.3
HaberBoschUnit,12088304.73
CoolingSubsystem,617.1
ASU,456776.5
HydrogenProduction,2465.25
SyngasCompression,1234172.3
HaberBoschUnit,12088304.73
CoolingSubsystem,617.1
ASU,186204.35
HydrogenProduction,3312.65
SyngasCompression,2236166.55
HaberBoschUnit,8898506.52
CoolingSubsystem,1108.0
ASU,186204.35
HydrogenProduction,3312.65
SyngasCompression,2236166.55
HaberBoschUnit,8898506.52
CoolingSubsystem,1108.0
ASU,419155.7
HydrogenProduction,1483.9
SyngasCompression,1200068.75
HaberBoschUnit,6700293.53
CoolingSubsystem,575.9
ASU,419155.7
HydrogenProduction,1483.9
SyngasCompression,1200068.75
HaberBoschUnit,6700293.53
CoolingSubsystem,575.9
ASU,292477.8
HydrogenProduction,3564.1
SyngasCompression,1079894.4
HaberBoschUnit,5947644.52
CoolingSubsystem,821.35
ASU,292477.8
HydrogenProduction,3564.1
SyngasCompression,1079894.4
HaberBoschUnit,5947644.52
CoolingSubsystem,821.35
ASU,332436.6
HydrogenProduction,1735.35
SyngasCompression,1242292.2
HaberBoschUnit,12422815.4
CoolingSubsystem,371.65
ASU,332436.6
HydrogenProduction,1735.35
SyngasCompression,1242292.2
HaberBoschUnit,12422815.4
CoolingSubsystem,371.65
ASU,408475.25
HydrogenProduction,2191.35
SyngasCompression,751241.95
HaberBoschUnit,11417790.02
CoolingSubsystem,729.75
ASU,408475.25
HydrogenProduction,2191.35
SyngasCompression,751241.95
HaberBoschUnit,11417790.02
CoolingSubsystem,729.75
ASU,378718.7
HydrogenProduction,4216.0
SyngasCompression,933127.45
HaberBoschUnit,5229342.63
CoolingSubsystem,669.65
ASU,378718.7
HydrogenProduction,4216.0
SyngasCompression,933127.45
HaberBoschUnit,5229342.63
CoolingSubsystem,669.65
ASU,403799.2
HydrogenProduction,1414.1
SyngasCompression,1800331.5
HaberBoschUnit,10533726.1
CoolingSubsystem,720.3
ASU,403799.2
HydrogenProduction,1414.1
SyngasCompression,1800331.5
HaberBoschUnit,10533726.1
CoolingSubsystem,720.3
ASU,186151.2
HydrogenProduction,3125.3
SyngasCompression,881160.15
HaberBoschUnit,11728407.09
CoolingSubsystem,577.8
ASU,186151.2
HydrogenProduction,3125.3
SyngasCompression,881160.15
HaberBoschUnit,11728407.09
CoolingSubsystem,577.8
ASU,533240.25
HydrogenProduction,2999.6
SyngasCompression,1246555.15
HaberBoschUnit,15001832.95
CoolingSubsystem,966.15
ASU,533240.25
HydrogenProduction,2999.6
SyngasCompression,1246555.15
HaberBoschUnit,15001832.95
CoolingSubsystem,966.15
ASU,274783.25
HydrogenProduction,3267.35
SyngasCompression,1350489.7
HaberBoschUnit,7666491.79
CoolingSubsystem,475.25
ASU,274783.25
HydrogenProduction,3267.35
SyngasCompression,1350489.7
HaberBoschUnit,7666491.79
CoolingSubsystem,475.25
ASU,289661.55
HydrogenProduction,2065.6
SyngasCompression,1745116.3
HaberBoschUnit,6495704.43
CoolingSubsystem,700.1
ASU,289661.55
HydrogenProduction,2065.6
SyngasCompression,1745116.3
HaberBoschUnit,6495704.43
CoolingSubsystem,700.1
ASU,239500.5
HydrogenProduction,2333.4
SyngasCompression,825944.9
HaberBoschUnit,8263832.26
CoolingSubsystem,291.6
ASU,239500.5
HydrogenProduction,2333.4
SyngasCompression,825944.9
HaberBoschUnit,8263832.26
CoolingSubsystem,291.6
ASU,208893.75
HydrogenProduction,2410.15
SyngasCompression,1134500.65
HaberBoschUnit,11549204.92
CoolingSubsystem,711.5
ASU,208893.75
HydrogenProduction,2410.15
SyngasCompression,1134500.65
HaberBoschUnit,11549204.92
CoolingSubsystem,711.5
ASU,436744.0
HydrogenProduction,2521.15
SyngasCompression,991590.65
HaberBoschUnit,5360757.53
CoolingSubsystem,548.45
ASU,436744.0
HydrogenProduction,2521.15
SyngasCompression,991590.65
HaberBoschUnit,5360757.53
CoolingSubsystem,548.45
ASU,242051.05
HydrogenProduction,2119.5
SyngasCompression,1102021.1
HaberBoschUnit,10808502.74
CoolingSubsystem,731.25
ASU,242051.05
HydrogenProduction,2119.5
SyngasCompression,1102021.1
HaberBoschUnit,10808502.74
CoolingSubsystem,731.25
ASU,312616.6
HydrogenProduction,2544.0
SyngasCompression,2099143.4
HaberBoschUnit,11716460.25
CoolingSubsystem,650.55
ASU,312616.6
HydrogenProduction,2544.0
SyngasCompression,2099143.4
HaberBoschUnit,11716460.25
CoolingSubsystem,650.55
ASU,347049.2
HydrogenProduction,1680.25
SyngasCompression,1354549.65
HaberBoschUnit,15204928.71
CoolingSubsystem,839.35
ASU,347049.2
HydrogenProduction,1680.25
SyngasCompression,1354549.65
HaberBoschUnit,15204928.71
CoolingSubsystem,839.35
ASU,376805.75
HydrogenProduction,3469.85
SyngasCompression,1211639.6
HaberBoschUnit,7869587.55
CoolingSubsystem,389.65
ASU,376805.75
HydrogenProduction,3469.85
SyngasCompression,1211639.6
HaberBoschUnit,7869587.55
CoolingSubsystem,389.65
ASU,233124.05
HydrogenProduction,1468.0
SyngasCompression,791029.4
HaberBoschUnit,6842161.93
CoolingSubsystem,1126.0
ASU,233124.05
HydrogenProduction,1468.0
SyngasCompression,791029.4
HaberBoschUnit,6842161.93
CoolingSubsystem,1126.0
ASU,481378.8
HydrogenProduction,3257.55
SyngasCompression,1710200.75
HaberBoschUnit,8323566.32
CoolingSubsystem,593.9
ASU,481378.8
HydrogenProduction,3257.55
SyngasCompression,1710200.75
HaberBoschUnit,8323566.32
CoolingSubsystem,593.9
ASU,407176.7
HydrogenProduction,2217.1
SyngasCompression,1157655.05
HaberBoschUnit,13020435.89
CoolingSubsystem,663.4
ASU,407176.7
HydrogenProduction,2217.1
SyngasCompression,1157655.05
HaberBoschUnit,13020435.89
CoolingSubsystem,663.4
ASU,348088.7
HydrogenProduction,2553.45
