Subsystem,Emissions
CoolingSubsystem,22.45
ASU,14644.55
HydrogenProduction,103.1
SyngasCompression,46261.3
HaberBoschUnit,437101.88
CoolingSubsystem,50.55
ASU,14644.55
HydrogenProduction,103.1
SyngasCompression,46261.3
HaberBoschUnit,437101.88
CoolingSubsystem,50.55
ASU,17301.35
HydrogenProduction,88.25
SyngasCompression,56830.4
HaberBoschUnit,202347.39
CoolingSubsystem,26.6
ASU,17301.35
HydrogenProduction,88.25
SyngasCompression,56830.4
HaberBoschUnit,202347.39
CoolingSubsystem,26.6
ASU,14041.3
HydrogenProduction,154.6
SyngasCompression,53980.9
HaberBoschUnit,326877.41
CoolingSubsystem,30.45
ASU,14041.3
HydrogenProduction,154.6
SyngasCompression,53980.9
HaberBoschUnit,326877.41
CoolingSubsystem,30.45
ASU,13497.85
HydrogenProduction,139.05
SyngasCompression,40809.3
HaberBoschUnit,398536.94
CoolingSubsystem,35.6
ASU,13497.85
HydrogenProduction,139.05
SyngasCompression,40809.3
HaberBoschUnit,398536.94
CoolingSubsystem,35.6
ASU,12259.7
HydrogenProduction,89.75
SyngasCompression,61660.4
HaberBoschUnit,433472.32
CoolingSubsystem,27.5
ASU,12259.7
HydrogenProduction,89.75
SyngasCompression,61660.4
HaberBoschUnit,433472.32
CoolingSubsystem,27.5
ASU,13750.9
HydrogenProduction,96.85
SyngasCompression,37967.9
HaberBoschUnit,248420.39
CoolingSubsystem,26.5
ASU,13750.9
HydrogenProduction,96.85
SyngasCompression,37967.9
HaberBoschUnit,248420.39
CoolingSubsystem,26.5
ASU,11412.7
HydrogenProduction,150.35
SyngasCompression,41455.4
HaberBoschUnit,390277.76
CoolingSubsystem,28.55
ASU,11412.7
HydrogenProduction,150.35
SyngasCompression,41455.4
HaberBoschUnit,390277.76
CoolingSubsystem,28.55
ASU,18607.1
HydrogenProduction,70.45
SyngasCompression,64564.85
HaberBoschUnit,278525.7
CoolingSubsystem,50.0
ASU,18607.1
HydrogenProduction,70.45
SyngasCompression,64564.85
HaberBoschUnit,278525.7
CoolingSubsystem,50.0
ASU,26591.45
HydrogenProduction,84.8
SyngasCompression,64440.65
HaberBoschUnit,430131.97
CoolingSubsystem,16.25
ASU,26591.45
HydrogenProduction,84.8
SyngasCompression,64440.65
HaberBoschUnit,430131.97
CoolingSubsystem,16.25
ASU,19994.4
HydrogenProduction,63.1
SyngasCompression,39853.15
HaberBoschUnit,343803.01
CoolingSubsystem,38.8
ASU,19994.4
HydrogenProduction,63.1
SyngasCompression,39853.15
HaberBoschUnit,343803.01
CoolingSubsystem,38.8
ASU,14625.45
HydrogenProduction,139.3
SyngasCompression,73744.35
HaberBoschUnit,486833.11
CoolingSubsystem,28.55
ASU,14625.45
HydrogenProduction,139.3
SyngasCompression,73744.35
HaberBoschUnit,486833.11
CoolingSubsystem,28.55
ASU,9803.6
HydrogenProduction,117.7
SyngasCompression,39487.25
HaberBoschUnit,332819.62
CoolingSubsystem,39.0
ASU,9803.6
HydrogenProduction,117.7
SyngasCompression,39487.25
HaberBoschUnit,332819.62
CoolingSubsystem,39.0
ASU,8566.35
HydrogenProduction,187.0
SyngasCompression,87369.2
HaberBoschUnit,312549.03
CoolingSubsystem,21.5
ASU,8566.35
HydrogenProduction,187.0
SyngasCompression,87369.2
HaberBoschUnit,312549.03
CoolingSubsystem,21.5
ASU,19692.75
HydrogenProduction,97.9
SyngasCompression,42823.2
HaberBoschUnit,298750.99
CoolingSubsystem,40.45
ASU,19692.75
HydrogenProduction,97.9
SyngasCompression,42823.2
HaberBoschUnit,298750.99
CoolingSubsystem,40.45
ASU,11960.9
HydrogenProduction,84.6
SyngasCompression,49160.7
HaberBoschUnit,468025.68
CoolingSubsystem,28.15
ASU,11960.9
HydrogenProduction,84.6
